annees,Produit intérieur brut (PIB),Importations de biens et de services,Dépense de consommation finale,ménages,administrations publiques,Formation brute de capital fixe,sociétés et entreprises individuelles non financières,V8,ménages hors entrepreneurs individuels,Exportations de biens et de services,Demande intérieure hors stocks
2000,4.141,14.747,3.295,3.85,1.893,6.617,6.631,9.182,3.436,12.669,3.983
2001,1.899,2.296,2.058,2.511,0.842,2.075,3.486,0.304,0.992,2.892,2.047
2002,1.068,2.339,2.011,1.902,1.673,-0.955,-2.644,-0.178,2.648,2.071,1.358
2003,0.968,0.677,1.805,1.804,2.263,2.358,0.39,5.02,2.827,-1.368,1.903
2004,2.868,6.005,1.98,2.068,2.095,3.603,2.979,4.067,4.307,5.346,2.324
2005,1.889,6.251,2.247,2.611,1.581,2.967,2.678,3.553,4.273,4.245,2.403
2006,2.714,5.77,2.331,2.768,1.351,4.374,4.15,0.206,6.5,5.341,2.765
2007,2.53,5.473,2.476,2.7,1.783,5.462,9.255,1.786,2.704,2.849,3.134
2008,0.38,1.264,0.706,0.578,1.097,1.206,2.918,1.012,-2.881,0.586,0.813
2009,-2.825,-8.929,1.015,0.114,2.785,-9.229,-12.926,5.444,-13.154,-10.46,-1.347
2010,2,8.602,1.762,1.861,1.25,1.763,3.428,0.604,0.975,8.543,1.765
2011,2.438,5.87,0.996,0.772,1.444,2.101,4.93,-5.866,1.591,6.527,1.226
2012,0.184,0.331,0.244,-0.395,1.626,-0.251,-1.045,0.969,-1.857,2.64,0.137
2013,0.782,2.746,0.924,0.584,1.653,-0.547,-0.149,1.615,-0.511,2.602,0.605
2014,0.998,4.264,1.109,0.957,1.307,-0.396,1.345,-5.119,-2.957,2.743,0.787
2015,1.067,5.819,1.448,1.597,1.082,0.619,2.913,-4.053,-1.64,4.525,1.275
2016,0.86,3.801,1.663,1.718,1.549,2.759,3.009,0.688,2.792,2.112,1.892
2017,2.084,4.454,1.523,1.466,1.645,3.698,3.93,-1.187,5.601,4.406,1.979
2018,1.646,3.161,0.989,1.1,0.829,3.502,5.004,2.669,1.794,3.767,1.529
2019,2.027,1.936,1.479,1.694,1.03,4.11,2.806,7.909,2.705,2.078,2.057
2020,-7.441,-12.238,-5.793,-6.453,-4.271,-5.829,-5.224,-5.594,-7.128,-16.572,-5.805
2021,6.882,8.264,5.696,5.222,6.63,9.734,10.123,2.425,14.978,11.326,6.593
2022,2.717,9.047,3.113,3.186,2.677,-0.379,1.715,0.212,-3.03,9.084,2.307
2023,1.439,-0.267,0.903,0.608,1.397,0.397,2.387,5.502,-8.036,2.47,0.791
2024,1.19,-1.21,1.179,1.039,1.44,-1.079,-2.164,4.812,-5.37,2.525,0.671
